minigame,internal,objective,target,gold,gold_text,scope,also_gives_life
Hungry Hungry Penguins,Peng,Feed on the fishes!,Fishy,3,,killer,
Hungry Hungry Penguins,Peng,Feed on the fishes!,Tasty Fishy,4,,killer,
Shell Hunters,Turtle,Hunt shells!,Baby Turtle,2,,killer,
Shell Hunters,Turtle,Hunt shells!,Slow Turtle,3,,killer,
Shell Hunters,Turtle,Hunt shells!,Fast Turtle,4,,killer,
Bombarding Squad,Kill_Rein,Provide long range support!,Sentinel,1,,killer,
Bombarding Squad,Kill_Rein,Provide long range support!,Sentinel Lt.,2,,killer,
300 Blind Mice,Rat,Kill the Vermin,Small Vermin,,1 or +2,killer,
Ghostbusters,Ghost,Bust the Ghosts!,Poltergeist Worm,3,,killer,
Ghostbusters,Ghost,Bust the Ghosts!,Mini-Demon,5,,killer,
Ghostbusters,Ghost,Bust the Ghosts!,Slime God,7,,killer,
Shrapnel,Rock,Collect coins!,Small Coins,,Small Money,killer,
Shrapnel,Rock,Collect coins!,Big Coins,,Big Money,killer,
Crispy Zergling,Zerg,Collect coins!,Small Coins,,Small Money,killer,
Crispy Zergling,Zerg,Collect coins!,Big Coins,,Big Money,killer,
Light the Fuse,Warfare,Suppress the suicidals!,Insane in the Membrane,3,,killer,
Excavation Site,Excavate,Blow stuff up!,Small Coins,,Small Money,killer,
Excavation Site,Excavate,Blow stuff up!,Killing Critter,,Small Money,killer,
Excavation Site,Excavate,Blow stuff up!,Big Coins,,Big Money,killer,
Dragon Loot,Dragon,Hunt then be hunted!,Revenge,2,,killer,
Dragon Loot,Dragon,Hunt then be hunted!,Small Coins,,Small Money,killer,
Dragon Loot,Dragon,Hunt then be hunted!,Big Coins,,Big Money,killer,
Coin Grab Mania,Treas,Get the gold!,Small Coins,,Small Money,killer,
Coin Grab Mania,Treas,Get the gold!,Big Coins,,Big Money,killer,
Race of Death II,Racing,Finish 5 laps before time runs out!,Slay a Kodo Beast,5,,killer,
Race of Death II,Racing,Finish 5 laps before time runs out!,1st Place,100,,killer,
Catch the Bun Buns,Catch_Bun,Catch the bunnies!,Creampuff,2,,killer,
Catch the Bun Buns,Catch_Bun,Catch the bunnies!,Moonlight,3,,killer,
Catch the Bun Buns,Catch_Bun,Catch the bunnies!,Spotty,4,,killer,
Catch the Bun Buns,Catch_Bun,Catch the bunnies!,Ein,6,,team,
Save the Sheep,Sheep,Quickly herd the sheep!,Sheep,10,,all,
Save the Sheep,Sheep,Quickly herd the sheep!,Black Sheep,35,,all,yes
Micro Arena,Micro,Destroy the opposition!,Ranged,1,,killer,
Micro Arena,Micro,Destroy the opposition!,Melee,2,,killer,
Micro Arena,Micro,Destroy the opposition!,Player or Proxy Hero Kill,7,,team,
Frothing Phobia,Spider,,Survive a few seconds,,wave-banded 2/3/4,killer,
The Sky is Falling,Hide,,Survive a few seconds,,wave-banded 2/3/4,killer,
The Sky is Falling,Hide,,Survive a few seconds (Center),,wave-banded 3/4/5,killer,
Kandy Man,Kandy,,Kandy Man,,wave-banded 30/70/100,killer,
Tree Jacks,Tree,,Sell Lumber,,wave-banded 3/4/5,killer,
The Obstacle Course,OB,,Complete each Section,,wave-banded 25/35/50,killer,
The Obstacle Course,OB,,Flawless Victory,,wave-banded 25/35/50,killer,
Micro,Micro,,Winning Team,,wave-banded 16/32/48,killer,
Micro,Micro,,Losing Team,,wave-banded 16/32/48,killer,
Catch the Bun Buns,Catch_Bun,,Ein y,6,(All players +6 gold),all,
Ghostbusters,Ghost,,Ecto Death y,30,"(All Players +1 life, +30 gold)",all,
Ghostbusters,Ghost,,Indicator,25,(All Players +25 gold),all,
The Sky is Falling,Hide,,Money,1,,killer,
Bombarding Squad,Kill_Rein,,Cart Killed,10,(All +10 gold),all,
Bombarding Squad,Kill_Rein,,Move 6,-2,Leak! (All -2 gold),all,
Micro,Micro,,Hero Kill E,7,(West +7 gold),killer,
Micro,Micro,,Hero Kill W,7,(East +7 gold),killer,
Hungry Hungry Penguins,Peng,,Kill Catfan,25,(All players +20 gold),all,
Save the Sheep,Sheep,,Sheep Rescue,10,(All +10 gold),all,
Save the Sheep,Sheep,,Super Sheep Rescue y,35,"(All players +1 life, +35 gold)",all,
Tree Jacks,Tree,,Chop Wood E,1,,killer,
Tree Jacks,Tree,,Chop Wood W,1,,killer,
Shell Hunters,Turtle,,Ada Kill,15,(All +15 gold),all,
Shell Hunters,Turtle,,Plat Kill y,35,(All +35 gold),all,
Shell Hunters,Turtle,,Zinger Kill,-6,,killer,
Light the Fuse,Warfare,,Kill Special Unit E y,9,(East +9 gold),killer,
Light the Fuse,Warfare,,Kill Special Unit W y,9,(West +9 gold),killer,
